Users_Followers,Post_Length,Number of Mentions (@),Number of Hashtags (#),# of Favorites,# of Boosts,Post Time,Post has Media
1332,45,1,0,0,0,2024-11-20 17:06:41+00:00,0
1206,196,0,0,0,0,2024-11-20 17:06:41+00:00,0
350,54,0,1,0,0,2024-11-20 17:06:42+00:00,0
418,155,2,0,0,0,2024-11-20 17:06:38+00:00,0
369,34,1,0,0,0,2024-11-20 17:06:36+00:00,0
4053,490,0,0,0,1,2024-11-20 17:06:37+00:00,1
826,102,1,0,0,0,2024-11-20 17:06:35+00:00,0
20,196,1,2,0,0,2024-11-20 17:06:33+00:00,0
1443,65,0,0,0,0,2024-11-20 17:06:31.170000+00:00,0
514,181,0,0,0,0,2024-11-20 17:06:29+00:00,0
7581,89,1,0,0,0,2024-11-20 17:06:12+00:00,0
809,181,0,0,0,0,2024-11-20 17:06:27+00:00,0
142,17,0,0,0,0,2024-11-20 17:06:24.962000+00:00,1
338,55,1,0,0,0,2024-11-20 17:06:24+00:00,0
249,648,0,2,0,0,2024-11-20 17:06:18+00:00,1
2940,666,0,1,0,0,2024-11-20 17:06:10+00:00,1
101,173,0,5,0,0,2024-11-20 17:06:19+00:00,1
443,338,1,0,0,0,2024-11-20 17:06:17+00:00,0
3,100,0,0,0,0,2024-11-20 17:06:14.853000+00:00,0
634,50,1,0,0,0,2024-11-20 17:06:18+00:00,0
249,278,0,5,0,1,2024-11-20 17:06:06+00:00,0
140,462,0,1,0,0,2024-11-20 17:06:07+00:00,0
424,237,1,0,0,0,2024-11-20 17:06:10+00:00,0
36,70,1,0,0,0,2024-11-20 17:06:07+00:00,0
81,218,1,0,0,0,2024-11-20 17:06:06+00:00,0
3017,1009,0,4,0,0,2024-11-20 17:06:05+00:00,0
1293,289,0,0,0,0,2024-11-20 17:06:05+00:00,1
1889,185,0,0,0,0,2024-11-20 17:06:03+00:00,0
177,184,0,4,0,0,2024-11-20 17:06:03+00:00,1
115,155,1,0,0,0,2024-11-20 17:05:59+00:00,0
46,25,1,0,0,0,2024-11-20 17:06:00+00:00,0
753,311,1,0,0,0,2024-11-20 17:11:59+00:00,0
631,109,1,0,0,0,2024-11-20 17:12:00+00:00,0
599,227,1,0,0,0,2024-11-20 17:11:55+00:00,0
3,20,2,0,0,0,2024-11-20 17:11:56+00:00,1
169,869,2,0,0,0,2024-11-20 17:11:52+00:00,0
222,474,1,0,0,0,2024-11-20 17:11:52.612000+00:00,0
364,57,0,0,0,0,2024-11-20 17:11:52+00:00,1
387,14,0,0,0,0,2024-11-20 17:11:53+00:00,0
1575,230,0,4,0,0,2024-11-20 17:11:52+00:00,0
146,121,0,0,0,0,2024-11-20 17:11:52+00:00,0
1189,394,2,0,0,0,2024-11-20 17:11:40+00:00,0
724,341,1,0,0,0,2024-11-20 17:11:48+00:00,0
1062,0,0,0,0,0,2024-11-20 17:11:48+00:00,1
449,318,0,8,0,0,2024-11-20 17:11:47+00:00,1
372,166,0,0,0,0,2024-11-20 17:11:48+00:00,0
528,37,1,0,0,0,2024-11-20 17:11:26.900000+00:00,0
492,42,1,0,0,0,2024-11-20 17:11:43+00:00,0
3017,306,1,0,0,0,2024-11-20 17:11:39+00:00,0
4584,458,0,2,0,0,2024-11-20 17:11:37+00:00,0
1151,17,1,0,0,0,2024-11-20 17:11:39+00:00,0
270,338,0,6,0,0,2024-11-20 17:11:39+00:00,1
954,116,1,0,0,0,2024-11-20 17:11:36+00:00,0
9334,259,1,0,0,0,2024-11-20 17:11:37+00:00,0
2061,132,1,0,0,0,2024-11-20 17:11:30+00:00,0
318,345,1,0,0,0,2024-11-20 17:11:33+00:00,0
51,64,0,1,0,1,2024-11-20 17:11:30+00:00,0
6628,290,1,0,0,1,2024-11-20 19:33:17+00:00,0
4099,205,0,3,0,0,2024-11-20 17:11:27+00:00,0
184,378,0,4,0,0,2024-11-20 17:04:02+00:00,0
98,85,1,0,0,0,2024-11-20 17:11:24+00:00,0
23,174,2,0,0,0,2024-11-20 17:11:25+00:00,0
5322,238,0,1,0,0,2024-11-20 17:11:13+00:00,0
2940,505,0,1,0,0,2024-11-20 17:11:13+00:00,1
2318,193,0,0,0,0,2024-11-20 17:11:22+00:00,0
375,134,1,0,0,0,2024-11-20 17:11:22+00:00,0
58317,362,0,20,0,0,2024-11-20 17:11:18+00:00,0
377,1052,0,0,0,0,2024-11-20 17:09:54+00:00,0
477,468,0,1,0,0,2024-11-20 17:11:13+00:00,1
1684,117,0,0,0,0,2024-11-20 17:11:15+00:00,0
1002,261,0,0,0,0,2024-11-20 17:11:18+00:00,0
228,458,4,7,0,1,2024-11-20 17:16:59+00:00,0
308,41,1,0,0,0,2024-11-20 17:16:55+00:00,0
3405,118,0,0,0,0,2024-11-20 17:16:30+00:00,0
369,65,1,0,0,0,2024-11-20 17:16:56+00:00,0
783,76,1,0,0,0,2024-11-20 17:16:54+00:00,1
630,90,0,0,0,0,2024-11-20 17:16:56+00:00,0
