Users_Followers,Post_Length,Number of Mentions (@),Number of Hashtags (#),# of Favorites,# of Boosts,Post Time,Post has Media
151,209,3,0,0,0,2024-11-20 20:27:42+00:00,1
1400,65,1,0,0,0,2024-11-20 20:27:43+00:00,0
42,45,0,0,0,0,2024-11-20 20:27:44+00:00,0
208,50,2,0,0,0,2024-11-20 20:27:39+00:00,0
573,180,0,2,0,0,2024-11-20 20:21:14+00:00,0
169,48,0,0,0,0,2024-11-20 20:27:42+00:00,0
1507,16,1,0,0,0,2024-11-20 20:27:40+00:00,0
3368,179,0,0,0,0,2024-11-20 20:27:39+00:00,1
25799,155,0,0,0,0,2024-11-20 20:27:35+00:00,1
737,57,1,0,0,0,2024-11-20 20:27:37+00:00,0
213,33,1,0,0,0,2024-11-20 20:27:32.743000+00:00,0
873,96,2,0,0,0,2024-11-20 20:27:36+00:00,0
140,36,1,0,0,0,2024-11-20 20:27:32+00:00,0
723,201,1,0,0,0,2024-11-20 20:27:35+00:00,1
307,176,0,0,0,0,2024-11-20 20:27:32+00:00,0
4331,34,1,0,0,0,2024-11-20 20:27:24+00:00,0
632,88,0,0,0,0,2024-11-20 20:27:29+00:00,0
3767,491,1,2,0,0,2024-11-20 20:27:33+00:00,0
1796,261,1,0,0,0,2024-11-20 20:27:32+00:00,0
385,66,1,0,0,0,2024-11-20 20:27:31+00:00,0
1116,186,1,0,0,1,2024-11-20 20:27:31.495000+00:00,0
274,304,0,0,0,0,2024-11-20 20:27:31+00:00,0
9,42,1,0,0,0,2024-11-20 20:27:30+00:00,0
268,38,1,0,0,0,2024-11-20 20:27:18+00:00,0
4771,49,1,0,0,0,2024-11-20 20:27:25+00:00,0
542,33,1,1,0,0,2024-11-20 20:27:28+00:00,0
963,124,2,0,0,0,2024-11-20 20:27:21+00:00,0
9334,48,1,1,0,0,2024-11-20 20:27:25+00:00,0
9479,220,1,0,0,0,2024-11-20 20:27:20+00:00,0
1,53,0,0,0,0,2024-11-20 20:27:21+00:00,0
369,180,1,0,0,0,2024-11-20 20:27:25+00:00,0
2511,16,0,0,0,0,2024-11-20 20:27:10+00:00,1
2191,69,0,0,0,0,2024-11-20 20:27:23.514000+00:00,0
33,105,1,0,0,0,2024-11-20 20:27:17+00:00,0
27968,272,1,0,0,0,2024-11-20 20:24:16+00:00,0
198,11,0,2,0,0,2024-11-20 20:27:20.720000+00:00,1
359,160,0,0,0,0,2024-11-20 20:27:17+00:00,0
229,95,0,0,0,0,2024-11-20 20:27:16+00:00,1
32,411,1,0,0,0,2024-11-20 20:27:19+00:00,0
434,45,0,0,0,0,2024-11-20 20:32:43+00:00,1
79,179,1,0,0,0,2024-11-20 20:32:42+00:00,0
1196,136,1,0,0,0,2024-11-20 20:32:39+00:00,0
5924,144,2,0,0,0,2024-11-20 20:32:20+00:00,0
342,41,1,0,0,0,2024-11-20 20:32:40.962000+00:00,0
3262,347,2,0,0,0,2024-11-20 20:32:41+00:00,0
146,76,1,0,0,0,2024-11-20 20:32:36+00:00,0
0,39,1,0,0,0,2024-11-20 20:32:34+00:00,0
9334,34,1,0,0,0,2024-11-20 20:32:35+00:00,0
644,436,0,0,0,0,2024-11-20 20:32:25+00:00,1
366,105,1,0,0,0,2024-11-20 20:32:34+00:00,0
1,87,1,0,0,0,2024-11-20 20:32:34.407000+00:00,0
259,30,0,0,0,0,2024-11-20 20:32:35+00:00,0
921,406,0,0,0,0,2024-11-20 20:32:34+00:00,0
6628,284,1,0,0,1,2024-11-20 22:46:23+00:00,0
1330,143,1,0,0,0,2024-11-20 20:32:30+00:00,0
416,161,0,1,0,0,2024-11-20 20:32:28+00:00,1
258,33,1,0,0,0,2024-11-20 20:32:22+00:00,0
1131,115,2,0,0,0,2024-11-20 20:32:29.125000+00:00,0
1148,39,0,0,0,0,2024-11-20 20:32:25+00:00,0
10092,95,0,0,0,0,2024-11-20 20:32:22+00:00,0
1278,323,0,5,0,0,2024-11-20 20:32:22+00:00,0
2208,145,1,0,0,0,2024-11-20 20:32:16.549000+00:00,0
44,54,1,0,0,0,2024-11-20 20:32:13+00:00,0
461,74,1,0,0,0,2024-11-20 20:32:19+00:00,0
2199071,219,1,0,0,0,2024-11-20 20:18:12+00:00,0
489,76,2,0,0,0,2024-11-20 20:32:16+00:00,0
111,31,2,0,0,0,2024-11-20 20:32:15+00:00,1
134,214,0,0,0,0,2024-11-20 20:32:15.606000+00:00,0
1183,267,1,0,0,0,2024-11-20 20:32:14+00:00,0
29201,249,0,0,0,0,2024-11-20 20:32:13+00:00,1
343,109,1,1,0,0,2024-11-20 20:32:14+00:00,0
1328,490,1,0,0,0,2024-11-20 20:32:11+00:00,0
169,237,0,3,0,0,2024-11-20 20:31:57+00:00,1
55,175,0,3,0,0,2024-11-20 20:32:12+00:00,1
573,124,0,0,0,0,2024-11-20 20:31:44+00:00,0
1504,308,2,0,0,0,2024-11-20 20:32:08+00:00,0
1,42,0,0,0,0,2024-11-20 20:32:05.408000+00:00,0
60,46,1,0,0,0,2024-11-20 20:32:07+00:00,0
108,30,2,0,0,0,2024-11-20 20:32:04+00:00,0
2526,547,0,0,0,0,2024-11-20 20:37:44+00:00,0
200,37,1,0,0,0,2024-11-20 20:37:45+00:00,0
2618,59,1,0,0,0,2024-11-20 20:37:36.648000+00:00,0
2260,106,0,0,0,0,2024-11-20 20:37:36+00:00,0
541,59,1,0,0,0,2024-11-20 20:32:54.579000+00:00,0
983,55,1,0,0,0,2024-11-20 20:37:36+00:00,0
601,33,1,0,0,0,2024-11-20 20:37:37+00:00,0
2591,252,2,0,0,0,2024-11-20 20:37:22+00:00,0
225,487,1,0,0,0,2024-11-20 20:37:39+00:00,0
573,114,0,0,0,0,2024-11-20 20:36:34+00:00,0
727,38,0,0,0,0,2024-11-20 20:37:36+00:00,0
13066,72,1,0,0,0,2024-11-20 20:37:34+00:00,0
4828,67,1,0,0,0,2024-11-20 20:37:28+00:00,0
272,59,1,0,0,0,2024-11-20 20:37:32+00:00,0
1007,36,2,0,0,0,2024-11-20 20:37:28+00:00,0
2337,60,0,0,0,0,2024-11-20 20:37:29+00:00,1
25799,172,0,0,0,0,2024-11-20 20:37:15+00:00,1
7316,98,0,2,0,0,2024-11-20 20:37:25+00:00,0
536,87,0,0,0,0,2024-11-20 20:37:26+00:00,0
83,65,1,0,0,0,2024-11-20 20:37:19+00:00,0
36,53,0,0,0,0,2024-11-20 20:37:21+00:00,0
501,141,0,3,0,1,2024-11-20 20:37:22+00:00,1
377,60,1,0,0,0,2024-11-20 20:37:18+00:00,0
3368,162,0,0,0,0,2024-11-20 20:37:20+00:00,0
1115,106,1,0,0,0,2024-11-20 20:37:19+00:00,0
3368,288,0,0,0,0,2024-11-20 20:37:16+00:00,1
25799,157,0,0,0,0,2024-11-20 20:37:12+00:00,1
55,94,0,3,0,0,2024-11-20 20:37:15+00:00,1
567,282,2,0,0,0,2024-11-20 20:37:12+00:00,0
1,135,0,0,0,0,2024-11-20 20:37:10+00:00,0
7156,283,0,0,0,0,2024-11-20 20:37:11+00:00,0
8345,169,1,0,0,0,2024-11-20 20:37:04+00:00,0
52928,309,1,0,0,0,2024-11-20 20:23:18+00:00,0
1042,26,0,0,0,0,2024-11-20 20:37:06+00:00,0
1278,269,0,6,0,0,2024-11-20 20:36:59+00:00,0
3519,35,1,0,0,0,2024-11-20 20:37:07+00:00,0
215,87,1,0,0,0,2024-11-20 20:36:42+00:00,0
84,342,0,2,0,0,2024-11-20 20:37:04+00:00,1
5364,114,2,0,0,0,2024-11-20 20:36:44+00:00,0
777,43,1,0,0,0,2024-11-20 20:36:58+00:00,0
6628,333,1,0,0,1,2024-11-20 23:23:34+00:00,0
622,72,0,0,0,0,2024-11-20 20:42:42+00:00,1
3767,493,1,5,0,0,2024-11-20 20:42:41+00:00,0
93,57,1,0,0,0,2024-11-20 20:42:25+00:00,0
817,59,2,0,0,0,2024-11-20 20:42:39+00:00,0
69,88,1,0,0,0,2024-11-20 20:42:38+00:00,0
242,459,0,0,0,0,2024-11-20 20:42:39+00:00,0
142,86,1,0,0,0,2024-11-20 20:42:33+00:00,0
963,131,0,0,0,0,2024-11-20 20:42:34+00:00,1
1323,463,1,0,0,0,2024-11-20 20:42:31+00:00,1
2,51,1,0,0,0,2024-11-20 20:42:34.710000+00:00,0
341,405,1,0,0,0,2024-11-20 20:42:32+00:00,0
2341,759,0,0,0,0,2024-11-20 20:42:02+00:00,0
505,252,1,0,0,0,2024-11-20 20:42:28+00:00,0
329,132,0,0,0,0,2024-11-20 20:42:28+00:00,0
35,42,1,0,0,0,2024-11-20 20:42:24+00:00,0
763,15,0,0,0,0,2024-11-20 20:42:26+00:00,0
837,184,0,1,0,0,2024-11-20 20:42:22+00:00,0
1413,447,1,0,0,0,2024-11-20 20:42:26+00:00,0
2292,362,0,0,0,0,2024-11-20 20:42:23+00:00,0
194,16,0,0,0,0,2024-11-20 20:42:23+00:00,1
391,98,1,0,0,0,2024-11-20 20:42:20+00:00,0
1008,165,0,0,0,0,2024-11-20 20:42:22+00:00,0
79,194,1,0,0,0,2024-11-20 20:42:22+00:00,0
1253,152,0,3,0,0,2024-11-20 20:42:20+00:00,1
960,51,0,0,0,0,2024-11-20 20:42:20+00:00,0
13859,86,0,0,0,0,2024-11-20 20:42:18+00:00,0
1206,249,0,4,0,0,2024-11-20 20:42:11+00:00,0
292,108,1,0,0,0,2024-11-20 20:42:17+00:00,0
27,250,1,0,0,0,2024-11-20 20:42:17+00:00,0
1568,129,0,0,0,0,2024-11-20 20:42:10+00:00,0
150,229,2,0,0,0,2024-11-20 20:42:00+00:00,0
1253,110,0,3,0,0,2024-11-20 20:42:13+00:00,1
379,13,0,0,0,0,2024-11-20 20:42:12+00:00,0
1808,26,1,0,0,0,2024-11-20 20:42:13+00:00,0
178,162,1,0,0,0,2024-11-20 20:42:12+00:00,0
1424621,202,1,0,0,0,2024-11-20 19:27:38+00:00,0
509,67,3,0,0,0,2024-11-20 20:42:12+00:00,0
96,66,2,0,0,0,2024-11-20 20:41:59+00:00,0
1253,155,0,4,0,0,2024-11-20 20:42:05+00:00,1
236,167,0,1,0,0,2024-11-20 20:47:42+00:00,0
657,164,0,0,0,0,2024-11-20 20:47:43+00:00,1
251,479,0,0,0,0,2024-11-20 20:47:33+00:00,0
1562,45,1,0,0,0,2024-11-20 20:47:35+00:00,0
242,325,1,0,0,0,2024-11-20 20:47:38+00:00,0
30359,217,0,1,0,0,2024-11-20 20:47:27+00:00,0
10771,433,0,0,0,0,2024-11-20 20:47:26+00:00,0
323,667,1,0,0,0,2024-11-20 20:47:27+00:00,0
638,6,0,0,0,0,2024-11-20 20:47:30+00:00,0
341,45,1,0,0,0,2024-11-20 20:47:21+00:00,0
205,39,1,0,0,0,2024-11-20 20:47:25+00:00,0
449,176,2,0,0,0,2024-11-20 20:47:29+00:00,0
3,33,1,0,0,0,2024-11-20 20:47:30+00:00,0
60,87,1,0,0,0,2024-11-20 20:47:23+00:00,0
2123,457,0,6,0,0,2024-11-20 20:47:26+00:00,0
344,50,2,0,0,0,2024-11-20 20:47:29+00:00,0
233,157,0,0,0,0,2024-11-20 20:47:25+00:00,1
105,253,1,0,0,0,2024-11-20 20:47:22+00:00,0
2662,125,0,2,0,0,2024-11-20 20:47:22+00:00,1
385,96,1,0,0,0,2024-11-20 20:47:24+00:00,0
1746,25,0,1,0,0,2024-11-20 20:47:25+00:00,1
108,23,1,0,0,0,2024-11-20 20:47:08+00:00,0
38,47,1,0,0,0,2024-11-20 20:47:17+00:00,1
1243,111,1,0,0,0,2024-11-20 20:47:23+00:00,0
315,181,2,0,0,0,2024-11-20 20:47:20+00:00,0
823,75,0,1,0,0,2024-11-20 20:47:20+00:00,0
184,135,0,0,0,0,2024-11-20 20:47:12+00:00,0
1253,153,0,6,0,0,2024-11-20 20:47:18+00:00,1
854,80,0,2,0,1,2024-11-20 20:47:10+00:00,0
3256,384,0,7,0,0,2024-11-20 20:47:18+00:00,0
55,56,2,0,0,0,2024-11-20 20:47:20+00:00,0
291,148,0,7,0,1,2024-11-20 20:47:20+00:00,0
512,119,0,0,0,0,2024-11-20 20:47:15+00:00,0
456,92,1,0,0,0,2024-11-20 20:47:17+00:00,0
31,85,1,0,0,0,2024-11-20 20:47:07+00:00,0
8345,67,2,0,0,0,2024-11-20 20:47:03+00:00,0
17,41,2,0,0,0,2024-11-20 20:47:16+00:00,0
4549,45,1,0,0,0,2024-11-20 20:47:04+00:00,0
475,11,0,0,0,0,2024-11-20 20:47:15+00:00,0
135,69,1,0,0,0,2024-11-20 20:47:14+00:00,1
170,10,0,0,0,0,2024-11-20 20:52:45+00:00,1
728,276,1,0,0,0,2024-11-20 20:52:41+00:00,1
657,70,0,0,0,0,2024-11-20 20:52:39+00:00,1
5,324,1,0,0,0,2024-11-20 20:52:41+00:00,0
245,68,0,0,0,0,2024-11-20 20:52:41+00:00,0
5985,144,1,0,0,0,2024-11-20 20:52:38+00:00,0
256,162,0,1,0,1,2024-11-20 20:52:39+00:00,0
8115,270,1,0,0,0,2024-11-20 20:27:00+00:00,0
113,79,1,0,0,0,2024-11-20 20:52:31+00:00,0
495,411,1,0,0,0,2024-11-20 20:52:37+00:00,0
2051,100,1,0,0,0,2024-11-20 20:52:22+00:00,0
1816,34,1,0,0,0,2024-11-20 20:52:21+00:00,0
2043,61,1,0,0,0,2024-11-20 20:52:31+00:00,0
449,102,0,0,0,0,2024-11-20 20:52:30+00:00,1
1455,108,0,0,0,0,2024-11-20 20:52:30+00:00,0
93,108,0,0,0,0,2024-11-20 20:52:29+00:00,0
605528,271,1,0,0,0,2024-11-20 20:43:32+00:00,0
388,114,1,0,0,0,2024-11-20 20:52:24+00:00,0
2929,46,1,0,0,0,2024-11-20 20:52:22+00:00,0
4828,46,1,0,0,0,2024-11-20 20:52:20+00:00,0
16,76,1,0,0,0,2024-11-20 20:52:14+00:00,0
469,161,1,0,0,0,2024-11-20 20:52:18+00:00,0
1005,43,1,0,0,0,2024-11-20 20:52:17+00:00,0
494,147,0,0,0,0,2024-11-20 20:52:17+00:00,0
171,303,1,0,0,0,2024-11-20 20:52:16+00:00,0
1253,145,0,2,0,0,2024-11-20 20:52:16+00:00,1
307,31,1,0,0,0,2024-11-20 20:52:15+00:00,0
9451,584,0,4,0,0,2024-11-20 20:52:16+00:00,0
1746,17,0,0,0,0,2024-11-20 20:52:18+00:00,1
3283,57,1,0,0,0,2024-11-20 20:52:16+00:00,0
507,48,1,0,0,0,2024-11-20 20:52:13+00:00,0
83,96,1,0,0,0,2024-11-20 20:52:16.321000+00:00,0
6031,76,0,0,0,0,2024-11-20 20:52:13+00:00,0
40,460,1,0,0,0,2024-11-20 20:52:11+00:00,0
623,0,0,0,0,0,2024-11-20 20:52:12+00:00,1
276,96,1,0,0,0,2024-11-20 20:51:54+00:00,0
1389,434,1,0,0,0,2024-11-20 20:52:11+00:00,0
164,56,1,0,0,0,2024-11-20 20:52:10+00:00,0
55,137,0,1,0,0,2024-11-20 20:52:09+00:00,1
801,170,0,0,0,0,2024-11-20 20:52:06+00:00,0
447,27,1,0,0,0,2024-11-20 20:57:46+00:00,0
433,93,2,0,0,0,2024-11-20 20:57:40+00:00,0
1148,96,0,0,0,0,2024-11-20 20:57:44+00:00,0
925,39,2,0,0,0,2024-11-20 20:57:44+00:00,0
28,77,1,0,0,0,2024-11-20 20:57:39+00:00,0
203,224,0,4,0,0,2024-11-20 20:57:34+00:00,1
1751,264,0,0,0,0,2024-11-20 20:57:38+00:00,0
76,47,1,0,0,0,2024-11-20 20:57:34+00:00,0
2012,33,0,0,0,0,2024-11-20 20:57:35+00:00,0
1127,322,0,0,0,0,2024-11-20 20:57:34+00:00,1
1816,32,1,0,0,0,2024-11-20 20:57:23+00:00,0
1644,560,0,2,0,0,2024-11-20 20:57:32+00:00,0
3755,256,1,0,0,0,2024-11-20 20:42:47+00:00,0
3009,521,0,10,0,0,2024-11-20 20:57:26+00:00,0
841,62,0,0,0,0,2024-11-20 20:57:27+00:00,0
73,48,1,0,0,0,2024-11-20 20:57:25+00:00,0
774,119,0,0,0,0,2024-11-20 20:57:27.215000+00:00,0
587,61,1,0,0,0,2024-11-20 20:57:23+00:00,0
123,74,1,0,0,0,2024-11-20 20:57:26+00:00,0
13952,288,0,0,0,0,2024-11-20 20:57:25+00:00,0
2020,54,1,0,0,0,2024-11-20 20:57:10+00:00,0
1328,489,1,0,0,0,2024-11-20 20:57:18+00:00,0
1612,285,0,3,0,0,2024-11-20 20:57:21+00:00,0
184,168,1,0,0,0,2024-11-20 20:57:19+00:00,0
1658,94,1,0,0,0,2024-11-20 20:56:42+00:00,0
623,0,0,0,0,0,2024-11-20 20:57:16+00:00,1
15679,258,0,0,0,0,2024-11-20 20:57:15+00:00,0
322,145,1,0,0,0,2024-11-20 20:57:12+00:00,0
76,21,1,0,0,0,2024-11-20 20:57:11+00:00,0
5877,52,1,0,0,0,2024-11-20 20:57:10+00:00,0
119,448,0,3,0,0,2024-11-20 20:57:00+00:00,0
512,42,1,0,0,0,2024-11-20 20:57:10+00:00,0
737,190,0,0,0,0,2024-11-20 20:57:10+00:00,0
458,96,0,1,0,0,2024-11-20 20:57:06+00:00,0
178,490,1,0,0,0,2024-11-20 20:57:09+00:00,0
38,74,1,0,0,0,2024-11-20 20:57:09+00:00,0
55,134,0,2,0,0,2024-11-20 20:57:08+00:00,1
161,106,0,0,0,0,2024-11-20 20:57:09+00:00,0
339,41,1,0,0,0,2024-11-20 20:57:07.342000+00:00,0
260,26,1,0,0,0,2024-11-20 20:57:04+00:00,0
233,224,0,3,0,0,2024-11-20 21:02:46+00:00,1
6963,493,0,0,0,0,2024-11-20 21:02:41+00:00,0
1839,252,1,0,0,0,2024-11-20 21:02:45+00:00,0
5850,25,0,0,0,0,2024-11-20 20:37:40+00:00,0
81,93,3,1,0,0,2024-11-20 21:02:42+00:00,0
193,237,1,0,0,0,2024-11-20 21:02:32+00:00,0
102,500,0,0,0,0,2024-11-20 21:02:40+00:00,0
391,19,1,0,0,0,2024-11-20 21:02:38+00:00,0
1617,47,0,0,0,0,2024-11-20 21:02:38+00:00,0
784,338,2,0,0,0,2024-11-20 21:02:35+00:00,0
9291,47,1,0,0,0,2024-11-20 20:57:13+00:00,0
146,79,2,0,0,0,2024-11-20 21:02:23+00:00,0
607,173,1,0,0,0,2024-11-20 21:02:34+00:00,0
339,58,1,0,0,0,2024-11-20 21:02:32.782000+00:00,0
281,154,0,2,0,0,2024-11-20 21:02:33+00:00,0
181,124,0,0,0,0,2024-11-20 21:02:33+00:00,0
91,57,1,0,0,0,2024-11-20 21:02:31+00:00,0
10652,170,1,0,0,0,2024-11-20 21:01:56+00:00,1
2482,13,1,0,0,0,2024-11-20 21:02:25+00:00,0
1867,79,0,0,0,0,2024-11-20 21:02:25.248000+00:00,1
623,0,0,0,0,0,2024-11-20 21:02:26+00:00,1
515,394,0,0,0,0,2024-11-20 21:02:18+00:00,0
515,394,0,0,0,0,2024-11-20 21:02:18+00:00,1
23,112,0,0,0,0,2024-11-20 21:02:24+00:00,0
8902,442,0,7,0,1,2024-11-20 21:02:25+00:00,0
828,217,0,1,0,0,2024-11-20 21:02:20+00:00,0
1433,27,1,0,0,0,2024-11-20 21:02:17+00:00,0
192,39,0,0,0,0,2024-11-20 21:02:18+00:00,0
186,139,0,0,0,0,2024-11-20 21:02:12+00:00,0
272,126,1,0,0,0,2024-11-20 21:02:12+00:00,0
23,19,1,0,0,0,2024-11-20 21:02:15+00:00,0
209,198,0,2,0,1,2024-11-20 21:02:15+00:00,0
264,159,2,0,0,0,2024-11-20 21:02:11+00:00,0
13209,92,2,0,0,0,2024-11-20 21:02:10+00:00,0
1197,18,1,0,0,0,2024-11-20 21:02:09+00:00,0
2554,83,0,0,0,0,2024-11-20 21:02:05+00:00,1
831,48,1,0,0,0,2024-11-20 21:02:07+00:00,0
177,271,1,0,0,0,2024-11-20 21:02:07+00:00,0
42,25,1,0,0,0,2024-11-20 21:02:07+00:00,0
587,110,1,0,0,0,2024-11-20 21:01:43+00:00,0
487,43,0,0,0,0,2024-11-20 21:07:47+00:00,0
994,488,1,0,0,0,2024-11-20 21:07:40+00:00,0
1012,355,2,0,0,0,2024-11-20 21:07:39+00:00,0
1477,65,0,0,0,0,2024-11-20 21:07:38+00:00,0
239,153,1,0,0,0,2024-11-20 21:07:39+00:00,0
325,340,3,2,0,0,2024-11-20 21:07:35+00:00,0
7729,107,0,0,0,0,2024-11-20 21:07:36+00:00,1
437,58,1,0,0,0,2024-11-20 21:07:34+00:00,0
5740,67,0,0,0,0,2024-11-20 20:37:12+00:00,1
272,340,1,0,0,0,2024-11-20 21:07:35+00:00,0
201,455,1,0,0,0,2024-11-20 21:07:34+00:00,0
3767,291,1,4,0,0,2024-11-20 21:07:35+00:00,0
1038,0,0,0,0,0,2024-11-20 21:07:33+00:00,1
75,35,1,0,0,0,2024-11-20 21:07:34+00:00,0
1453,373,0,6,0,0,2024-11-20 21:06:15+00:00,1
275,78,0,0,0,0,2024-11-20 21:07:32.193000+00:00,0
1112,92,0,0,0,0,2024-11-20 21:07:29+00:00,0
686,136,1,0,0,0,2024-11-20 21:07:30+00:00,0
469,132,1,1,0,0,2024-11-20 21:07:27+00:00,0
102,25,1,0,0,0,2024-11-20 21:07:25+00:00,0
453,35,0,0,0,0,2024-11-20 21:07:24.353000+00:00,0
559,370,1,0,0,0,2024-11-20 21:07:22+00:00,0
1555,369,1,0,0,0,2024-11-20 21:07:21+00:00,0
727,64,1,0,0,0,2024-11-20 21:07:21+00:00,0
5177,10,0,0,0,0,2024-11-20 21:07:10+00:00,0
469,51,1,0,0,0,2024-11-20 21:07:17+00:00,0
233,21,1,0,0,0,2024-11-20 21:07:19+00:00,1
9451,491,0,9,0,0,2024-11-20 21:06:51+00:00,1
3368,219,0,0,0,0,2024-11-20 21:07:11+00:00,1
1116,447,1,0,0,1,2024-11-20 21:07:12.868000+00:00,0
633,277,0,0,0,0,2024-11-20 21:07:11+00:00,0
1807,141,0,1,0,1,2024-11-20 21:06:56+00:00,0
1025,139,1,0,0,0,2024-11-20 21:07:07+00:00,0
1112,10,0,0,0,0,2024-11-20 21:07:09+00:00,1
239,354,0,0,0,0,2024-11-20 21:07:08+00:00,0
618,166,0,0,0,0,2024-11-20 21:07:06+00:00,0
55,63,0,2,0,0,2024-11-20 21:07:07+00:00,1
99,45,1,0,0,0,2024-11-20 21:07:07+00:00,0
1124,120,1,0,0,0,2024-11-20 21:07:05+00:00,0
1798,75,2,0,0,0,2024-11-20 21:07:05+00:00,0
306,46,0,2,0,0,2024-11-20 21:12:46+00:00,1
2741,15,1,0,0,0,2024-11-20 21:12:44+00:00,0
494,40,1,0,0,0,2024-11-20 21:12:36+00:00,0
57774,178,0,0,0,0,2024-11-20 09:00:00+00:00,0
853,267,0,0,0,0,2024-11-20 21:12:41+00:00,0
528,347,0,0,0,0,2024-11-20 21:12:41+00:00,0
686,128,0,0,0,0,2024-11-20 21:12:41+00:00,0
634,351,0,0,0,0,2024-11-20 21:12:30+00:00,0
278,50,0,1,0,0,2024-11-20 21:12:30+00:00,0
153,118,1,0,0,0,2024-11-20 21:12:28+00:00,0
469,47,0,3,0,0,2024-11-20 21:12:25+00:00,0
966,38,1,0,0,0,2024-11-20 21:12:25+00:00,0
1253,227,0,11,0,0,2024-11-20 21:12:16+00:00,1
193,80,1,0,0,0,2024-11-20 21:12:12+00:00,0
1002,208,1,0,0,0,2024-11-20 21:12:24+00:00,0
389,50,0,4,0,0,2024-11-20 21:12:22+00:00,1
1112,38,0,0,0,0,2024-11-20 21:12:22+00:00,1
1253,161,0,6,0,0,2024-11-20 21:12:14+00:00,1
886,81,0,0,0,0,2024-11-20 21:12:17+00:00,0
102,151,1,0,0,0,2024-11-20 21:12:17+00:00,0
618,418,1,0,0,0,2024-11-20 21:12:17+00:00,0
1253,184,0,7,0,1,2024-11-20 21:12:10+00:00,1
419,160,0,2,0,0,2024-11-20 21:12:15+00:00,1
490,218,1,0,0,0,2024-11-20 21:12:13+00:00,0
3017,422,0,0,0,0,2024-11-20 21:12:11+00:00,0
1123,76,1,0,0,0,2024-11-20 21:12:11+00:00,0
140,376,0,0,0,0,2024-11-20 21:12:08+00:00,0
1658,124,2,0,0,0,2024-11-20 21:11:54+00:00,0
792,727,0,1,0,0,2024-11-20 21:12:07+00:00,0
55,120,0,2,0,0,2024-11-20 21:12:07+00:00,1
8,64,2,0,0,0,2024-11-20 21:12:07.890000+00:00,0
358,119,1,0,0,0,2024-11-20 21:12:04+00:00,0
341,252,1,0,0,0,2024-11-20 21:12:05+00:00,0
2838,376,0,32,0,0,2024-11-20 21:12:03+00:00,1
51,29,2,0,0,0,2024-11-20 21:12:04+00:00,0
147,33,1,0,0,0,2024-11-20 21:12:02+00:00,0
13,339,0,2,0,1,2024-11-20 21:12:03+00:00,1
2208,432,1,0,0,0,2024-11-20 21:11:49.121000+00:00,0
548,126,1,0,0,0,2024-11-20 21:12:00+00:00,0
3954,127,0,0,0,0,2024-11-20 21:12:01+00:00,0
95,74,1,0,0,0,2024-11-20 21:17:47+00:00,0
515,493,1,1,0,0,2024-11-20 21:17:35+00:00,1
783,50,1,0,0,0,2024-11-20 21:17:44+00:00,0
1358,74,0,0,0,0,2024-11-20 21:17:44.041000+00:00,0
3705,163,0,0,0,0,2024-11-20 21:17:37+00:00,0
142,128,2,0,0,0,2024-11-20 21:17:42+00:00,0
275,32,1,0,0,0,2024-11-20 21:17:42.682000+00:00,0
37504,168,0,0,0,0,2024-11-20 21:17:39+00:00,0
8345,62,3,0,0,0,2024-11-20 21:17:27+00:00,0
3233,84,0,0,0,0,2024-11-20 21:17:40+00:00,0
960,18,0,0,0,0,2024-11-20 21:17:35+00:00,0
637,43,1,0,0,0,2024-11-20 21:17:33+00:00,0
316,72,1,0,0,0,2024-11-20 21:17:36.339000+00:00,0
1208,53,1,0,0,0,2024-11-20 21:17:30+00:00,0
721,218,1,0,0,0,2024-11-20 21:17:22+00:00,0
164,432,0,0,0,0,2024-11-20 21:17:29+00:00,0
1360,165,0,2,0,0,2024-11-20 21:17:25+00:00,1
334,181,0,1,0,0,2024-11-20 21:17:24+00:00,0
1178,30,1,0,0,0,2024-11-20 21:17:24+00:00,0
1607,111,1,0,0,0,2024-11-20 21:17:24+00:00,0
12311,50,1,0,0,0,2024-11-20 21:17:23+00:00,0
275,63,0,0,0,0,2024-11-20 21:17:20.367000+00:00,0
960,14,1,0,0,0,2024-11-20 21:17:17+00:00,0
3368,295,0,0,0,0,2024-11-20 21:17:13+00:00,1
3997,285,0,0,0,0,2024-11-20 21:17:12+00:00,0
1494,426,0,2,0,1,2024-11-20 21:17:12+00:00,0
1719,36,2,0,0,0,2024-11-20 21:17:12+00:00,0
1208,82,1,0,0,0,2024-11-20 21:17:06+00:00,0
155,115,2,0,0,0,2024-11-20 21:17:12+00:00,0
213,262,1,0,0,0,2024-11-20 21:17:09+00:00,0
593,300,1,2,0,0,2024-11-20 21:17:08+00:00,0
4358,291,0,0,0,0,2024-11-20 21:16:40+00:00,0
393,281,0,0,0,0,2024-11-20 21:17:09+00:00,0
292,2121,1,4,0,1,2024-11-20 21:17:10+00:00,0
3368,153,0,0,0,0,2024-11-20 21:17:08+00:00,1
490,169,0,0,0,0,2024-11-20 21:17:09+00:00,0
238,56,2,0,0,0,2024-11-20 21:17:02+00:00,0
3368,128,0,0,0,0,2024-11-20 21:17:02+00:00,0
13209,81,0,0,0,0,2024-11-20 21:17:01+00:00,1
54790,451,0,3,0,0,2024-11-20 21:17:03+00:00,0
430,118,1,6,0,1,2024-11-20 21:22:45+00:00,1
37,82,1,0,0,0,2024-11-20 21:22:46+00:00,0
